province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,geom,YEAR_ELECTION
Punjab,Attock,Attock-II,496142,266,165266,150821,316087,NA-58,70743,Ch Pervaiz Ellahi,PML,PML-Q,"{""type"":""Polygon"",""coordinates"":[[[71.91123493099545,33.477314077732785],[71.91120147700009,33.47848892200007],[71.90936279300004,33.48522567700003],[71.91002655000003,33.490020752000056],[71.914031982,33.49400329600009],[71.92028045700005,33.49716949500004],[71.92736816400001,33.500339508000025],[71.93358612100009,33.50265502900004],[71.93927002000005,33.506668091],[71.94466400100002,33.50982284500004],[71.94865417500004,33.51381301900007],[71.95235443100006,33.51779174800005],[71.95634460400004,33.52178573600001],[71.96005249000008,33.52576446500004],[71.96405029300006,33.52975845300006],[71.96719360400003,33.53458786],[71.96865081800004,33.53940200800002],[71.97011566200007,33.54505538900003],[71.96739196800007,33.55150604200002],[71.96379089400006,33.557666779000066],[71.96134185800005,33.56411743200006],[71.96028137200008,33.57058334400006],[71.96254730200003,33.57541275000007],[71.96651458700008,33.57940292400008],[71.97019195600005,33.58339691200008],[71.97300720200009,33.58681869500004],[71.9816818240001,33.588901520000036],[71.98645019500002,33.59233856200008],[71.98871612500002,33.59716415400005],[71.99013519300007,33.60197830200009],[71.98903656000006,33.60845947300002],[71.98851013200006,33.619735718000086],[71.98740387000007,33.625648499000064],[71.98796081500005,33.63129806500007],[71.98796844500005,33.636940002000046],[71.98853302000005,33.642597198000026],[71.98741149900007,33.648227692000034],[71.98795318600008,33.65331268300001],[71.98851013200006,33.658962250000066],[71.98905181900004,33.66461181600004],[71.98958587600004,33.66941833500005],[71.99012756300002,33.67507934600009],[71.99233245800008,33.67990112300003],[71.9951095580001,33.68389511100004],[72.00148010300005,33.687942504999974],[72.00842285200008,33.69086456300006],[72.01396942100004,33.69404983500006],[72.01784515400001,33.69890594500004],[72.01669311500007,33.704536438000055],[72.01636505100007,33.71046829200002],[72.01905822800006,33.720111847000034],[72.02207183800004,33.72496032700006],[72.02565002400006,33.72896575900003],[72.02698516800007,33.733791351000065],[72.0299835210001,33.73863983200003],[72.03298950200006,33.74264526399998],[72.03404235800008,33.74775314300007],[72.03619384800002,33.75230407700007],[72.03919982900003,33.75715637200006],[72.04219055200006,33.761451721000014],[72.04575347900004,33.765457153000064],[72.05207824700007,33.76867294300005],[72.05955505400004,33.76935958899997],[72.06647491500007,33.77059936500004],[72.07505798300011,33.77271652200006],[72.08113098100004,33.775363922000054],[72.08718109100006,33.77856826800007],[72.08848571800006,33.78340148900003],[72.08895874000007,33.789062500000064],[72.08885955800011,33.79471969600006],[72.09238433800004,33.79874038700007],[72.09844970700004,33.80139160200004],[72.10404968300003,33.79865264900005],[72.10989379900006,33.797615051],[72.11465454100006,33.79457855200004],[72.12023925800007,33.792976379000045],[72.12609863300008,33.79166030900007],[72.13169860800005,33.789203644000054],[72.149253845,33.786094666000054],[72.15483856200008,33.78449249300007],[72.16152191200005,33.78403472900004],[72.16710662800004,33.782142639000035],[72.17295074500005,33.781959534000045],[72.17989349400004,33.782073975000074],[72.18630981400008,33.781044006000045],[72.19215393100004,33.78086090100003],[72.19802856400011,33.77897262600005],[72.20579528800006,33.780517578000044],[72.2179336550001,33.78695297200005],[72.22323092071255,33.787619034517704],[72.33453588548618,33.69641666753124],[72.27200569027569,33.52638266605808],[71.92384332934512,33.47204064089632],[71.91123493099545,33.477314077732785]]]}",2008
Punjab,Mianwali,Mianwali-II,638480,291,168959,138835,307794,NA-72,49294,Humair Hayat Rokhari,IND,IND,"{""type"":""Polygon"",""coordinates"":[[[71.42357862113896,33.012159160870794],[71.42553710900006,33.01277160600008],[71.42997741700003,33.014999390000064],[71.43331909200002,33.01776886000001],[71.4366455080001,33.02137756300002],[71.43858337400009,33.02582550000005],[71.44136047400006,33.02971649200004],[71.44274902300003,33.034721375000075],[71.44358825700003,33.03999328600004],[71.444976807,33.04527282700008],[71.44581604000004,33.05027008100006],[71.44664001500009,33.05609893800005],[71.44664001500009,33.06137847900002],[71.44609069800003,33.06666564900007],[71.44386291500007,33.07110595700004],[71.44219970700006,33.07471466100002],[71.43997192400009,33.077774048000045],[71.43692016600004,33.08166503900004],[71.43304443400008,33.083328247000054],[71.42553710900006,33.08526611300006],[71.41886901900003,33.085823059000084],[71.41415405300006,33.08693695100006],[71.41026306200008,33.09027099600004],[71.40748596200008,33.09360504200003],[71.40664672900003,33.098327637000075],[71.40664672900003,33.103607178000054],[71.40832519500002,33.108604431000074],[71.40942382800002,33.11305236800008],[71.41220092800008,33.11749267600005],[71.41360473600008,33.12193298300008],[71.41581726100004,33.12721252400007],[71.41775512700008,33.13166046099998],[71.41914367700008,33.13610839800004],[71.42082214400007,33.141662598000046],[71.42164611800008,33.147491455000086],[71.42082214400007,33.15165710400006],[71.41998291000006,33.15637970000008],[71.41804504400007,33.16082000700003],[71.4163818360001,33.16443634000009],[71.41331481900006,33.16832733200003],[71.41110229500002,33.171379089],[71.40748596200008,33.17471313500005],[71.40498352100006,33.17804718000008],[71.40138244600008,33.18054962200005],[71.39833068800003,33.18443298300008],[71.39526367200007,33.18776702900005],[71.39305114700007,33.19082641600005],[71.39082336400008,33.19526672400008],[71.38859558100006,33.19887542700008],[71.38554382300002,33.2022171020001],[71.38415527300003,33.206382751000056],[71.38247680700005,33.21054840100004],[71.38192749000007,33.21527099600007],[71.38165283200003,33.219436646000084],[71.38333129900006,33.22582244900007],[71.38471984900006,33.229713440000054],[71.38804626500009,33.23387908900003],[71.39137268100008,33.236656189000044],[71.39582824700007,33.23860168500005],[71.40065765400007,33.24037933300008],[71.40525817900006,33.24166107200008],[71.41110229500002,33.242218018000074],[71.41775512700008,33.24137878400004],[71.42469787600002,33.240829468000065],[71.43165588400005,33.23943328900006],[71.43692016600004,33.23832702600004],[71.44303894000005,33.236656189000044],[71.44775390600006,33.234992981000076],[71.45304870600006,33.23249054000007],[71.45664978000008,33.22998809800004],[71.46054077100007,33.2272109990001],[71.46304321300005,33.22443389900008],[71.46665954600009,33.22082519500001],[71.46943664600006,33.21749115000005],[71.47248840300003,33.214157104000044],[71.47554016100008,33.21166229200005],[71.48027038600003,33.20943450900007],[71.48553466800006,33.208328247000075],[71.49136352500005,33.20888519300005],[71.49636840800008,33.21054840100004],[71.50109863300008,33.21249389600005],[71.50416564900004,33.215545654000046],[71.50860595700003,33.216934204000026],[71.51249694800002,33.219436646000084],[71.51609802200005,33.22082519500001],[71.52276611300005,33.222488403000064],[71.52777099600007,33.22360229500003],[71.54026794400005,33.22360229500003],[71.54721069300005,33.22276306200009],[71.55331420900004,33.222213745],[71.55886840800004,33.221099854000045],[71.56414794900006,33.218879700000066],[71.5680541990001,33.21665954600009],[71.571655273,33.212768555],[71.57415771500008,33.21027374300009],[71.57609558100005,33.205825806000014],[71.57832336400007,33.201660156000074],[71.57916259800002,33.19748687700008],[71.58082580600009,33.19360351600006],[71.58137512200007,33.188323975000074],[71.58110046400003,33.183052063000055],[71.58193969700007,33.17943573000006],[71.58415222200006,33.17416381800006],[71.58471679700003,33.16999054000009],[71.5863800050001,33.16554260300005],[71.58915710400004,33.15721130400005],[71.59136962900006,33.15277099600008],[71.59220886200009,33.14860534700008],[71.59443664600006,33.144996643000056],[71.59582519500003,33.14054870600005],[71.59803772000005,33.13638305700005],[71.59971618700003,33.133331299000076],[71.60165405300005,33.12887573200001],[71.60386657700009,33.12471008300004],[71.60636901900007,33.12137603800005],[71.6085968020001,33.11776733400005],[71.610809326,33.113883972000046],[71.61442565900008,33.111106873000054],[71.61665344199999,33.10749816900003],[71.62052917500006,33.10471344000008],[71.62359619100003,33.10138702400005],[71.62664794900007,33.09887695300005],[71.63053894000008,33.09609985400006],[71.6394348140001,33.090545654000024],[71.64332580600005,33.08832550000007],[71.64860534700007,33.08610534700007],[71.65248107900001,33.08443450900005],[71.65859985400006,33.08277130100004],[71.6644287110001,33.08082580600005],[71.67053222700008,33.07971954300009],[71.67608642600004,33.078605652000086],[71.68275451700005,33.077774048000045],[71.68830871600005,33.07610321000003],[71.69358825700002,33.07444000200007],[71.69886779800002,33.072494507000066],[71.70416259800002,33.070274353000066],[71.71191406300007,33.06805419900009],[71.71192932100008,33.07610321000003],[71.71081543000005,33.08166503900004],[71.70999145500006,33.08804321300005],[71.70721435500008,33.09471130400005],[71.70555114700004,33.10110473600002],[71.70610046400004,33.106658936000045],[71.70637512200008,33.11138153100006],[71.710266113,33.11527252200002],[71.71388244600007,33.11915588400006],[71.71859741200004,33.12304687500002],[71.72303772000002,33.12638092000004],[71.72692871100006,33.13027191200007],[71.73220825200008,33.133880615000045],[71.73526001000008,33.13804626500009],[71.73887634300006,33.14193725600008],[71.7403186628548,33.14369475822807],[71.833115383075,33.04389159240621],[71.71448287465635,32.87716872209966],[71.56810752709681,32.85409275478527],[71.42357862113896,33.012159160870794]]]}",2008
Punjab,Rawalpindi,Rawalpindi-VI,570886,250,180922,152097,333019,NA-55,76980,Makhdoom Muhammad Javed Hashmi,PMLN,PMLN,"{""type"":""Polygon"",""coordinates"":[[[72.4163892799113,33.37345163259105],[72.27200569027569,33.52638266605808],[72.33453588548618,33.69641666753124],[72.47948222212402,33.71588859161947],[72.65860599093051,33.60120601079525],[72.63605598623664,33.44822208850471],[72.4163892799113,33.37345163259105]]]}",2008
